风险等级,自主等级,统一边界等级,操作示例,示例ID,Demo/场景,ActionType,目标范围,数据类别,状态变化,可撤销性,设备,Human Gate/处理方式,安全边界等级,安全边界说明,效率边界等级,效率边界说明,透明度边界等级,透明度边界说明,接管边界等级,接管边界说明,Reason Codes,备注
L1,AL4,1,标记文档待核实项,risk_ex_011,跨端任务接续,mark_verification_point,self,internal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,PERSONAL_MARKUP,
L1,AL4,1,把会议纪要整理成个人待办,risk_ex_012,多任务驾驶舱,personal_todo,self,internal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,PERSONAL_TODO,
L1,AL4,1,自动折叠手机端敏感字段,risk_ex_013,隐私保护,collapse_sensitive_mobile,self,customer_data,ui_state_change,high,mobile,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,MOBILE_PRIVACY_PROTECTION,
L1,AL4,1,提示报告已保存,risk_ex_014,跨端任务接续,notify_autosave_done,self,normal,read_only,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,STATUS_VISIBLE,
L1,AL4,1,撤销刚才的格式整理,risk_ex_015,风险治理,undo_format_document,self,internal,local_state_change,high,pc,自动执行，可撤销,S1,S1 低风险可撤销：仅个人可见、影响小、可回退。,E1,E1 优先交给Agent：低风险、高频、可撤销、低切换成本。,T1,T1 完成提示+撤销：显示已完成状态和撤销入口。,H1,H1 事后撤销：用户不必事前确认，但可撤销/恢复。,UNDO_AVAILABLE,
L2,AL3,2,生成报告待核实点,risk_ex_016,跨端任务接续,extract_verification_points,self,internal,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,在手机上查看任务摘要,risk_ex_017,跨端任务接续,mobile_continue_summary,self,internal,read_only,high,mobile,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,MOBILE_REDACTED_SUMMARY,
L2,AL3,2,总结客户邮件问题,risk_ex_018,风险治理,generate_summary,self,customer_data,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,SOURCE_LABEL_REQUIRED,
L2,AL3,2,生成客户邮件回复草稿,risk_ex_019,多任务驾驶舱,draft_email,self,customer_data,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,生成明日汇报PPT风险页草稿,risk_ex_020,多任务驾驶舱,draft_ppt_slide,self,project_risk,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,PROJECT_RISK_DRAFT,
L2,AL3,2,总结项目Alpha延期原因,risk_ex_021,多任务驾驶舱,generate_summary,self,project_risk,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,SOURCE_LABEL_REQUIRED,
L2,AL3,2,检索相关历史材料,risk_ex_022,跨端任务接续,retrieve_related_sources,self,internal,read_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,READ_ONLY,
L2,AL3,2,解释为什么客户A排第一,risk_ex_023,多任务驾驶舱,explain_ranking,self,customer_data,read_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,RANKING_EXPLANATION,
L2,AL3,2,对报销单做异常核查摘要,risk_ex_024,多任务驾驶舱,review_expense_anomaly,self,financial,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,FINANCIAL_REVIEW_DRAFT,
L2,AL3,2,生成内部通知草稿,risk_ex_025,多任务驾驶舱,draft_internal_notice,internal_team,internal,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,把语音备注转成文字草稿,risk_ex_026,跨端任务接续,voice_note_to_text,self,normal,draft_only,high,mobile,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,PRIVATE_DRAFT,
L2,AL3,2,提取客户会议纪要行动项,risk_ex_027,多任务驾驶舱,extract_action_items,self,customer_data,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,生成合同条款风险摘要,risk_ex_028,合同/法务,generate_summary,self,contract,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,CONTRACT_SUMMARY_ONLY,
L2,AL3,2,生成候选人简历摘要,risk_ex_029,HR/人事,generate_summary,self,hr,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,HR_DRAFT_ONLY,
L2,AL3,2,从CRM中整理客户进展摘要,risk_ex_030,CRM/客户,generate_summary,self,customer_data,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,CUSTOMER_DATA_SUMMARY,
L2,AL3,2,生成供应商报价对比草稿,risk_ex_031,采购/财务,generate_summary,self,"supplier_data, pricing",draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,PRICING_DRAFT_ONLY,
L2,AL3,2,把文档改写得更正式,risk_ex_032,文档/PPT,rewrite_text,self,internal,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,生成会议议程草稿,risk_ex_033,会议/日程,draft_meeting_agenda,self,internal,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,DRAFT_ONLY,
L2,AL3,2,整理公开资料检索结果,risk_ex_034,知识检索,summarize_public_search,self,public,draft_only,high,pc,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,PUBLIC_READ_ONLY,
L2,AL3,2,生成手机端继续卡片短摘要,risk_ex_035,跨端任务接续,mobile_continue_card_summary,self,internal,draft_only,high,mobile,生成草稿，不写系统,S2,S2 受控生成/只读：只生成摘要、检索、草稿或核查结果，不写真实系统。,E2,E2 适合生成草稿和检索：输出可验证，适合先交给Agent准备。,T2,T2 来源可追溯：显示来源、引用、证据或原文链接。,H2,H2 采纳/编辑草稿：用户决定采纳、修改或忽略。,MOBILE_REDACTED_SUMMARY,
L3,AL2,3,把手机备注插入报告草稿区,risk_ex_036,跨端任务接续,insert_draft,self,internal,local_state_change,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,DOCUMENT_STATE_CHANGE,
L3,AL2,3,创建内部任务给王工,risk_ex_037,风险治理,create_internal_task,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,INTERNAL_SYSTEM_WRITE,
L3,AL2,3,提醒王工今天补技术方案,risk_ex_038,风险治理,create_internal_task,internal_team,project_risk,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,ASSIGNEE_CONFIRM_REQUIRED,
L3,AL2,3,安排项目组内部复盘会,risk_ex_039,会议/日程,create_calendar_invite_internal,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,CALENDAR_WRITE,
L3,AL2,3,发送内部周报给项目组,risk_ex_040,邮件/IM,send_email_internal,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,INTERNAL_SEND,
L3,AL2,3,将项目状态标记为延期风险,risk_ex_041,项目任务,update_project_status,cross_department,project_risk,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,PROJECT_STATUS_CHANGE,
L3,AL2,3,把客户沟通备注写入CRM,risk_ex_042,CRM/客户,update_crm_note,internal_team,customer_data,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,CRM_WRITE,
L3,AL2,3,通知报销申请人补充附件,risk_ex_043,OA/报销,notify_expense_owner,internal_team,financial,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,INTERNAL_NOTICE,
L3,AL2,3,插入PPT风险页草稿,risk_ex_044,多任务驾驶舱,insert_draft,self,project_risk,local_state_change,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,PPT_INSERT_PREVIEW,
L3,AL2,3,调整今日驾驶舱任务排序,risk_ex_045,多任务驾驶舱,update_dashboard_order,self,normal,local_state_change,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,SESSION_PREFERENCE,
L3,AL2,3,创建内部会议并添加议程,risk_ex_046,会议/日程,create_calendar_invite_internal,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,CALENDAR_WRITE,
L3,AL2,3,把报销异常挂起并生成内部待办,risk_ex_047,OA/报销,create_internal_task,internal_team,financial,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,FINANCIAL_REVIEW_TASK,
L3,AL2,3,更新项目责任人,risk_ex_048,项目任务,update_project_owner,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,OWNER_CHANGE_CONFIRM,
L3,AL2,3,把邮件草稿加入待确认队列,risk_ex_049,多任务驾驶舱,queue_confirm_item,self,customer_data,local_state_change,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,CONFIRM_QUEUE,
L3,AL2,3,把CRM联系人备注更新为新职位,risk_ex_050,CRM/客户,update_crm_note,internal_team,customer_data,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,CUSTOMER_DATA,
L3,AL2,3,手机端确认创建内部任务,risk_ex_051,移动办公,create_internal_task,internal_team,internal,internal_system_write,medium,mobile,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,MOBILE_CONFIRM_REQUIRED,
L3,AL2,3,把缺材料清单发送给内部同事,risk_ex_052,OA/报销,send_email_internal,internal_team,financial,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,FINANCIAL_INTERNAL_NOTICE,
L3,AL2,3,将汇报备注保存为团队可见,risk_ex_053,跨端任务接续,share_note_internal,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,VISIBILITY_CHANGE,
L3,AL2,3,内部IM提醒客户会议准备事项,risk_ex_054,多任务驾驶舱,notify_internal_user,internal_team,customer_data,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,INTERNAL_NOTICE_CUSTOMER,
L3,AL2,3,修改内部任务截止时间,risk_ex_055,项目任务,update_internal_task,internal_team,internal,internal_system_write,medium,pc,预览确认后执行,S3,S3 内部状态变更：会改变内部系统状态，影响范围有限但需确认。,E3,E3 先准备、再确认：Agent节省准备时间，正式生效前交给用户确认。,T3,T3 预览/差异可审查：展示字段、diff、更新前后状态或插入位置。,H3,H3 关键节点确认：执行前暂停，用户确认/修改/取消。,DEADLINE_CHANGE,
L4,AL1,4,把客户汇报PPT发给客户A,risk_ex_056,风险治理,send_email_external,external_customer,"customer_data, project_risk",external_effect,low,pc,Risk Lens 强确认,S4,S4 外部/敏感强确认：涉及外发、正式提交或客户/财务/项目风险等敏感数据。,E4,E4 只做辅助，不自动生效：Agent只能预览、整理证据、生成草稿或风险提示。,T4,T4 Risk Lens强透明：展示动作、对象、数据、状态变化、可撤销性、策略命中。,H4,H4 强确认/二次确认：用户必须明确确认、修改或取消。,EXTERNAL_SEND;SENSITIVE_ATTACHMENT,
L4,AL1,4,把报价单发给客户A,risk_ex_057,风险治理,send_email_external,external_customer,"customer_data, pricing",external_effect,low,pc,Risk Lens 强确认,S4,S4 外部/敏感强确认：涉及外发、正式提交或客户/财务/项目风险等敏感数据。,E4,E4 只做辅助，不自动生效：Agent只能预览、整理证据、生成草稿或风险提示。,T4,T4 Risk Lens强透明：展示动作、对象、数据、状态变化、可撤销性、策略命中。,H4,H4 强确认/二次确认：用户必须明确确认、修改或取消。,EXTERNAL_SEND;PRICING_DATA,
L4,AL1,4,手机端把报价单发给客户,risk_ex_058,移动办公,send_email_external,external_customer,"customer_data, pricing",external_effect,low,mobile,Risk Lens 强确认,S4,S4 外部/敏感强确认：涉及外发、正式提交或客户/财务/项目风险等敏感数据。,E4,E4 只做辅助，不自动生效：Agent只能预览、整理证据、生成草稿或风险提示。,T4,T4 Risk Lens强透明：展示动作、对象、数据、状态变化、可撤销性、策略命中。,H4,H4 强确认/二次确认：用户必须明确确认、修改或取消。,MOBILE_CONTEXT;EXTERNAL_SEND;PRICING_DATA,
L4,AL1,4,邀请客户参加方案评审会,risk_ex_059,会议/日程,create_calendar_invite_external,external_customer,customer_data,external_effect,low,pc,Risk Lens 强确认,S4,S4 外部/敏感强确认：涉及外发、正式提交或客户/财务/项目风险等敏感数据。,E4,E4 只做辅助，不自动生效：Agent只能预览、整理证据、生成草稿或风险提示。,T4,T4 Risk Lens强透明：展示动作、对象、数据、状态变化、可撤销性、策略命中。,H4,H4 强确认/二次确认：用户必须明确确认、修改或取消。,EXTERNAL_INVITE,
L4,AL1,4,提交采购审批,risk_ex_060,采购/财务,submit_approval,cross_department,"financial, approval_data",external_effect,low,pc,Risk Lens 强确认,S4,S4 外部/敏感强确认：涉及外发、正式提交或客户/财务/项目风险等敏感数据。,E4,E4 只做辅助，不自动生效：Agent只能预览、整理证据、生成草稿或风险提示。,T4,T4 Risk Lens强透明：展示动作、对象、数据、状态变化、可撤销性、策略命中。,H4,H4 强确认/二次确认：用户必须明确确认、修改或取消。,APPROVAL_SUBMIT,
